issue,date,f1,f2,f3,f4,f5,b1,b2
21001,,2,6,12,19,33,8,9
21002,,2,16,26,31,34,9,11
21003,,7,21,28,31,35,4,10
21004,,5,10,17,23,28,2,8
21005,,3,7,10,12,35,3,5
21006,,4,22,25,28,35,4,5
21007,,5,23,30,34,35,8,10
21008,,5,19,20,27,33,3,8
21009,,1,3,20,29,32,5,12
21010,,1,5,16,22,34,8,11
21011,,6,9,11,14,21,1,3
21012,,6,12,20,23,33,1,9
21013,,21,27,28,30,34,8,11
21014,,7,13,20,27,29,4,9
21015,,4,8,17,19,25,1,7
21016,,8,9,10,19,34,1,2
21017,,17,21,26,29,32,2,7
21018,,2,20,23,26,34,5,10
21019,,1,12,13,28,29,3,4
21020,,7,21,22,30,33,4,6
21021,,16,18,29,33,35,9,12
21022,,2,12,22,30,33,2,4
21023,,7,9,13,16,32,2,9
21024,,11,14,21,24,31,2,10
21025,,17,18,23,30,31,10,12
21026,,7,11,20,24,27,1,11
21027,,9,21,22,26,30,4,12
21028,,2,3,5,17,29,4,10
21029,,2,6,10,32,33,4,7
21030,,18,23,25,26,32,2,7
21031,,1,4,19,20,34,3,5
21032,,1,11,14,34,35,7,10
21033,,1,3,5,30,32,1,5
21034,,8,10,14,25,34,7,8
21035,,5,11,16,30,32,3,4
21036,,8,17,25,28,33,7,11
21037,,10,21,27,29,33,4,12
21038,,9,11,20,29,32,1,7
21039,,4,12,14,21,35,2,11
21040,,2,3,9,16,19,3,7
21041,,2,5,9,11,32,4,9
21042,,9,15,20,23,29,4,5
21043,,7,12,17,19,34,1,10
21044,,6,18,31,33,35,10,11
21045,,1,4,6,11,19,7,9
21046,,6,8,12,14,18,6,8
21047,,1,6,9,25,33,4,8
21048,,4,7,17,21,27,10,12
21049,,1,10,22,23,25,2,12
21050,,9,22,32,33,35,5,10
21051,,1,4,14,16,19,3,4
21052,,2,11,13,14,30,9,12
21053,,3,6,15,17,35,7,11
21054,,3,6,17,20,25,3,9
21055,,3,6,10,11,24,10,11
21056,,3,11,16,21,26,9,10
21057,,5,7,19,20,28,5,7
21058,,13,15,17,23,34,1,11
21059,,4,16,27,28,35,2,9
21060,,9,13,25,31,33,3,7
21061,,15,19,20,26,32,4,7
21062,,4,6,23,32,34,5,7
21063,,5,9,14,29,30,9,11
21064,,1,17,19,32,34,6,10
21065,,23,25,30,31,35,7,8
21066,,24,26,29,34,35,9,11
21067,,1,4,22,23,34,8,9
21068,,2,20,21,26,30,2,10
21069,,1,3,24,32,33,4,6
21070,,3,20,21,22,24,6,12
21071,,8,11,16,29,35,1,4
21072,,2,3,15,22,26,3,11
21073,,8,12,14,20,24,6,10
21074,,11,14,18,20,25,3,7
21075,,6,14,15,17,20,1,5
21076,,6,13,22,25,26,2,4
21077,,2,6,9,21,25,6,8
21078,,2,8,17,19,25,1,5
21079,,6,14,19,26,33,8,11
21080,,15,16,20,29,30,6,10
21081,,5,13,24,29,35,7,8
21082,,1,14,22,29,33,3,10
21083,,7,9,11,26,35,1,8
21084,,2,10,14,30,33,6,9
21085,,1,12,15,26,35,10,11
21086,,2,3,7,16,17,6,10
21087,,10,14,15,25,28,3,10
21088,,2,14,31,34,35,1,7
21089,,1,17,24,28,35,10,12
21090,,6,7,19,26,32,6,12
21091,,1,4,10,21,29,3,5
